dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,mcuve,1.474,0.72,0.785,0.681,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|146|147|148|149|151|152|153|155,6
indian_pines,29,mcuve,1.551,0.735,0.774,0.698,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|92|94|97|98|99|148|152|153|170,6
indian_pines,28,mcuve,1.449,0.73,0.784,0.691,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|148|149|151|152|153,6
indian_pines,27,mcuve,1.469,0.724,0.739,0.685,35|61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|148|149|152,6
indian_pines,26,mcuve,1.558,0.756,0.763,0.721,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|149|152|153|171,6
indian_pines,25,mcuve,1.46,0.7,0.695,0.658,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|148|149|150|151|152,6
indian_pines,24,mcuve,1.459,0.716,0.736,0.676,35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|149|152,6
indian_pines,23,mcuve,1.463,0.707,0.686,0.665,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|152,6
indian_pines,22,mcuve,1.454,0.707,0.674,0.665,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|152,6
indian_pines,21,mcuve,1.452,0.655,0.616,0.605,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|152,6
indian_pines,20,mcuve,1.445,0.619,0.573,0.561,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94,6
indian_pines,19,mcuve,1.463,0.624,0.561,0.564,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91,6
indian_pines,18,mcuve,1.465,0.614,0.548,0.553,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91,6
indian_pines,17,mcuve,1.461,0.572,0.509,0.503,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80,6
indian_pines,16,mcuve,1.5,0.575,0.506,0.507,62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80,6
indian_pines,15,mcuve,1.475,0.55,0.458,0.475,62|63|64|65|66|67|68|69|70|71|72|73|77|78|79,6
indian_pines,14,mcuve,1.466,0.564,0.485,0.49,62|63|64|65|66|67|68|69|70|71|73|77|78|79,6
